provincia_canton_distrito,Población de 15 años y más,Tasa neta de participación,Tasa de ocupación,Tasa de desempleo abierto,Porcentaje de población económicamente inactiva,Relación de dependencia económica
Tempate           , 4 207,49.1,46.9,4.5,50.9,1.7
Cartagena         , 2 940,41.9,40.2,4.1,58.1,2.1
Cuajiniquil       , 1 307,42.6,41.7,2.2,57.4,2.2
Diriá            , 3 024,44.2,41.7,5.7,55.8,1.9
Cabo Velas        , 2 570,54.0,50.9,5.8,46.0,1.4
Tamarindo         , 4 764,57.7,55.0,4.7,42.3,1.3
,,,,,,
Bagaces, 14 037,45.9,44.1,3.8,54.1,2.0
,,,,,,
Bagaces           , 8 769,46.4,44.3,4.5,53.6,2.0
La Fortuna        , 2 060,44.7,43.8,2.0,55.3,2.0
Mogote            , 2 427,46.7,45.4,2.7,53.3,2.0
Río Naranjo       ,  781,40.5,38.8,4.1,59.5,2.2
,,,,,,
Carrillo, 27 199,46.5,43.9,5.6,53.5,1.9
,,,,,,
Filadelfia        , 5 963,41.7,38.5,7.6,58.3,2.2
Palmira           , 3 911,48.7,46.0,5.5,51.3,1.8
Sardinal          , 10 919,49.8,47.4,4.9,50.2,1.7
Belén            , 6 406,44.0,41.5,5.5,56.0,2.1
,,,,,,
Cañas, 19 026,49.8,48.2,3.2,50.2,1.8
,,,,,,
Cañas            , 15 046,50.4,48.8,3.1,49.6,1.7
Palmira           ,  711,43.3,42.3,2.3,56.7,2.2
San Miguel        , 1 252,50.1,48.2,3.8,49.9,1.6
Bebedero          , 1 526,48.3,46.3,4.2,51.7,1.8
Porozal           ,  491,46.6,45.4,2.6,53.4,1.9
,,,,,,
Abangares, 13 323,47.1,44.9,4.8,52.9,1.9
,,,,,,
Las Juntas        , 7 046,47.0,44.9,4.5,53.0,1.9
Sierra            , 1 742,53.8,52.1,3.2,46.2,1.5
San Juan          , 1 192,44.8,42.6,4.9,55.2,2.0
Colorado          , 3 343,44.7,41.8,6.6,55.3,2.1
,,,,,,
Tilarán, 14 705,48.6,47.2,2.9,51.4,1.7
,,,,,,
Tilarán           , 6 454,50.5,49.0,2.9,49.5,1.7
Quebrada Grande   , 2 027,50.5,49.4,2.2,49.5,1.6
Tronadora         , 1 359,45.2,44.4,1.8,54.8,1.9
Santa Rosa        , 1 469,45.8,44.0,4.0,54.2,1.9
Líbano            ,  673,44.1,43.1,2.4,55.9,1.9
Tierras Morenas   , 1 021,43.1,41.5,3.6,56.9,2.1
Arenal            , 1 702,49.4,47.9,2.9,50.6,1.7
,,,,,,
Nandayure, 8 384,42.2,40.3,4.4,57.8,2.1
,,,,,,
Carmona           , 1 909,47.0,45.8,2.5,53.0,1.8
Santa Rita        , 1 083,34.7,31.8,8.5,65.3,2.8
Zapotal           ,  926,42.0,40.3,4.1,58.0,2.1
San Pablo         , 1 618,37.7,35.1,6.9,62.3,2.6
Porvenir          ,  592,43.1,41.9,2.7,56.9,1.9
Bejuco            , 2 256,44.7,43.0,3.8,55.3,2.0
,,,,,,
La Cruz, 13 106,45.4,43.7,3.6,54.6,2.2
,,,,,,
La Cruz           , 6 431,47.4,45.5,4.1,52.6,2.0
Santa Cecilia     , 4 134,44.3,42.9,3.2,55.7,2.4
La Garita         , 1 116,40.2,38.9,3.3,59.8,2.8
Santa Elena       , 1 425,43.2,42.0,2.8,56.8,2.3
,,,,,,
Hojancha, 5 521,43.8,42.8,2.2,56.2,2.0
,,,,,,
Hojancha          , 3 259,45.0,44.2,1.7,55.0,1.9
Monte Romo,  513,43.1,40.7,5.4,56.9,2.0
Puerto Carrillo   , 1 201,42.0,40.8,3.0,58.0,2.1
Huacas            ,  548,40.7,40.5,0.4,59.3,2.2
,,,,,,
Puntarenas, 295 918,48.9,47.3,3.3,51.1,1.8
,,,,,,
Puntarenas, 84 210,48.2,46.4,3.7,51.8,1.8
,,,,,,
Puntarenas        , 6 801,53.3,51.4,3.4,46.7,1.3
Pitahaya          , 1 515,46.9,45.6,2.8,53.1,2.1
Chomes            , 3 940,43.4,41.5,4.3,56.6,2.2
Lepanto           , 7 170,41.1,39.6,3.8,58.9,2.2
Paquera           , 4 875,43.9,42.7,2.8,56.1,2.1
Manzanillo        , 1 965,43.9,42.8,2.4,56.1,2.3
Guacimal          ,  698,48.3,47.7,1.2,51.7,1.7
Barranca          , 21 866,47.4,45.3,4.6,52.6,2.0
Monte Verde       , 3 042,59.9,58.1,2.9,40.1,1.3
Cóbano            , 5 442,56.4,54.8,2.8,43.6,1.4
Chacarita         , 12 681,47.7,45.8,3.9,52.3,1.9
Chira        , 1 119,44.5,43.7,1.8,55.5,2.2
Acapulco          ,  993,46.6,45.7,1.9,53.4,1.8
El Roble          , 11 589,49.7,47.7,4.1,50.3,1.7
Arancibia         ,  514,38.9,38.7,0.5,61.1,2.3
,,,,,,
Esparza, 21 413,49.5,47.7,3.5,50.5,1.7
,,,,,,
Espíritu Santo    , 11 873,49.3,47.3,4.0,50.7,1.7
San Juan Grande   , 4 433,48.1,46.2,4.0,51.9,1.9
Macacona          , 3 497,52.0,50.8,2.4,48.0,1.6
San Rafael        , 1 020,49.6,48.4,2.4,50.4,1.6
San Jerónimo      ,  590,48.3,47.8,1.1,51.7,1.6
,,,,,,
Buenos Aires, 30 658,45.2,43.7,3.4,54.8,2.3
,,,,,,
Buenos Aires      , 14 300,48.1,46.6,3.1,51.9,2.1
Volcán            , 2 706,43.3,41.4,4.4,56.7,2.3
Potrero Grande    , 3 882,39.3,37.1,5.8,60.7,2.9
Boruca            , 2 118,41.0,39.8,3.1,59.0,2.5
Pilas            , 1 124,43.9,43.8,0.2,56.1,2.4
Colinas      ,  983,52.9,52.8,0.2,47.1,1.6
Chánguena         , 1 695,44.2,43.4,1.9,55.8,2.5
Biolley           , 1 691,44.4,43.8,1.2,55.6,2.3
Brunka            , 2 159,42.1,39.3,6.6,57.9,2.5
,,,,,,
Montes de Oro, 9 895,47.7,46.4,2.7,52.3,1.7
,,,,,,
Miramar           , 6 433,48.9,47.9,2.0,51.1,1.6
La Unión          ,  968,41.8,41.2,1.5,58.2,2.1
San Isidro        , 2 494,46.7,44.3,5.0,53.3,1.9
,,,,,,
Osa, 21 458,48.5,47.1,3.0,51.5,1.8
,,,,,,
Puerto Cortés     , 5 834,47.5,46.2,2.8,52.5,1.9
Palmar            , 7 146,48.8,47.1,3.4,51.2,1.8
Sierpe            , 3 069,47.3,46.1,2.4,52.7,1.9
Bahía Ballena     , 2 379,58.7,57.3,2.4,41.3,1.4
Piedras Blancas   , 3 030,43.4,41.8,3.5,56.6,2.1
,,,,,,
Aguirre, 19 804,55.0,52.8,4.0,45.0,1.5
,,,,,,
Quepos            , 14 677,56.4,54.0,4.3,43.6,1.4
Savegre           , 2 440,50.2,49.1,2.2,49.8,1.7
Naranjito         , 2 687,51.4,49.2,4.3,48.6,1.7
,,,,,,
Golfito, 28 045,48.4,46.6,3.7,51.6,1.9
,,,,,,
Golfito           , 8 303,51.8,49.3,4.8,48.2,1.6
Puerto Jiménez    , 6 258,49.3,47.3,4.1,50.7,1.8
Guaycará          , 9 305,47.3,45.9,3.0,52.7,1.9
Pavón , 4 179,42.8,41.9,2.2,57.2,2.4
,,,,,,
Coto Brus, 26 748,44.7,43.7,2.2,55.3,2.2
,,,,,,
San Vito          , 10 550,45.7,44.6,2.3,54.3,2.1
Sabalito          , 7 534,45.8,45.0,1.6,54.2,2.2
Aguabuena         , 4 491,45.7,44.0,3.7,54.3,2.1
Limoncito         , 2 288,34.9,34.3,1.8,65.1,3.5
Pittier           , 1 885,44.6,43.9,1.7,55.4,2.3
,,,,,,
Parrita, 11 857,50.4,48.8,3.3,49.6,1.7
,,,,,,
Parrita           , 11 857,50.4,48.8,3.3,49.6,1.7
,,,,,,
Corredores, 29 586,50.0,48.9,2.2,50.0,1.8
,,,,,,
Corredor          , 12 377,52.0,50.7,2.5,48.0,1.7
La Cuesta         , 2 795,52.8,51.8,1.8,47.2,1.6
Canoas            , 7 973,49.1,48.0,2.3,50.9,1.9
Laurel            , 6 441,45.8,45.1,1.6,54.2,2.1
,,,,,,
Garabito, 12 244,60.2,58.1,3.6,39.8,1.3
,,,,,,
Jacó             , 8 280,62.5,60.0,4.0,37.5,1.3
Tárcoles          , 3 964,55.5,54.0,2.8,44.5,1.5
,,,,,,
Limón, 270 157,50.4,48.3,4.3,49.6,1.8
,,,,,,
Limón, 65 555,48.9,46.4,5.1,51.1,1.9
,,,,,,
Limón, 43 765,50.8,48.1,5.3,49.2,1.7
Valle La Estrella , 11 338,42.9,41.3,3.8,57.1,2.7
Río Blanco        , 5 616,46.1,43.4,5.9,53.9,2.2
Matama            , 4 836,48.2,46.0,4.6,51.8,2.1
,,,,,,
Pococí, 89 730,51.2,48.9,4.5,48.8,1.7
,,,,,,
Guápiles          , 26 647,54.8,53.1,3.1,45.2,1.5
Jiménez           , 7 393,53.5,51.1,4.5,46.5,1.7
Rita             , 17 063,47.7,45.1,5.5,52.3,2.0
Roxana            , 11 761,51.1,48.7,4.6,48.9,1.8
Cariari           , 24 123,48.5,45.8,5.7,51.5,1.9
Colorado          , 2 743,54.7,53.6,2.1,45.3,1.7
,,,,,,
Siquirres, 40 174,50.6,48.8,3.6,49.4,1.8
,,,,,,
Siquirres         , 22 430,51.2,49.3,3.8,48.8,1.8
Pacuarito         , 6 077,51.3,49.6,3.4,48.7,1.8
Florida           , 1 617,48.9,47.1,3.5,51.1,1.8
Germania          , 1 832,49.2,48.1,2.3,50.8,1.7
El Cairo          , 4 247,48.1,46.2,4.0,51.9,2.0
Alegría        , 3 971,50.0,48.3,3.3,50.0,1.9
,,,,,,
Talamanca, 19 899,50.4,48.9,2.9,49.6,2.1
,,,,,,
Bratsi            , 4 756,47.6,46.7,1.9,52.4,2.2
Sixaola           , 5 558,51.2,49.8,2.6,48.8,2.1
Cahuita           , 5 686,52.3,49.9,4.7,47.7,1.8
Telire, 3 899,49.8,48.9,2.0,50.2,2.2
,,,,,,
Matina, 25 740,51.9,49.6,4.4,48.1,1.8
,,,,,,
Matina            , 6 180,51.8,49.0,5.3,48.2,1.9
Batán            , 11 339,50.7,48.2,4.9,49.3,1.9
Carrandi          , 8 221,53.7,52.0,3.0,46.3,1.7
,,,,,,
Guácimo, 29 059,50.4,48.3,4.1,49.6,1.8
,,,,,,
Guácimo           , 12 919,52.1,50.1,3.9,47.9,1.7
Mercedes          , 1 337,41.2,39.4,4.4,58.8,2.1
Pocora            , 4 631,49.9,47.6,4.6,50.1,1.8
Río Jiménez       , 6 077,48.6,46.8,3.8,51.4,2.0
Duacarí           , 4 095,50.9,48.6,4.5,49.1,1.9
